Data,% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
2017-03-29 22:00:00,59.54,9.56,2003.65,531.85,399.11,9.65,1.73,199.9,196.63,199.93,295.1,306.41,250.04,249.9,855.38,816.54,877.31,580.23,596.84,550.1,544.57,64.7,2.92
2017-03-29 23:00:00,59.54,9.56,1812.65,531.02,400.06,9.6,1.73,199.9,195.33,199.97,295.1,306.41,250.0,250.1,855.22,819.43,882.84,581.61,599.27,551.18,548.54,65.86,2.0
2017-03-30 00:00:00,59.55,9.56,1974.73,537.16,399.87,9.63,1.74,199.94,195.55,199.82,295.1,306.41,250.06,250.15,856.86,822.36,880.44,548.95,555.78,526.07,521.97,66.35,1.71
2017-03-30 01:00:00,60.45,9.19,2048.7,488.43,401.43,9.7,1.68,199.83,195.46,199.83,295.1,306.41,249.16,250.08,854.87,817.05,884.01,477.59,473.71,470.98,464.34,63.39,3.8
2017-03-30 02:00:00,60.45,9.19,1906.75,335.64,410.89,9.42,1.54,199.75,195.35,199.97,295.1,306.41,249.74,250.2,855.1,797.74,868.18,452.84,447.53,509.19,234.61,63.39,3.8
2017-03-30 03:00:00,60.45,9.19,1861.6,428.05,408.42,9.37,1.63,199.9,195.39,200.06,295.1,306.41,250.0,250.35,847.32,705.28,786.61,460.72,452.98,511.65,267.07,63.4,3.8
2017-03-30 04:00:00,60.45,9.19,1917.34,443.21,399.58,9.16,1.6,200.35,195.64,200.1,295.1,306.41,252.17,250.08,851.35,809.87,871.51,468.55,456.18,469.39,463.88,63.91,2.77
2017-03-30 05:00:00,60.45,9.19,2159.92,460.43,400.96,9.17,1.64,200.09,195.89,199.95,295.1,306.41,250.24,250.54,857.14,811.94,872.21,477.28,474.4,488.66,476.27,65.69,1.65
2017-03-30 06:00:00,60.45,9.19,2051.21,456.38,400.24,9.19,1.62,199.92,195.35,199.88,295.1,306.41,250.05,250.12,832.91,777.53,882.75,466.61,464.4,460.27,458.9,66.05,2.37
2017-03-30 07:00:00,61.11,8.24,1490.36,438.85,400.24,9.23,1.59,200.2,195.45,200.05,295.1,306.41,249.98,250.15,844.71,816.64,867.76,477.64,471.65,501.16,469.0,66.34,2.04
2017-03-30 08:00:00,61.11,8.24,1331.17,287.52,400.92,8.89,1.53,200.31,195.51,199.81,295.1,306.41,249.64,250.41,857.47,823.26,883.86,452.11,448.96,452.47,448.12,66.27,1.81
2017-03-30 09:00:00,61.11,8.24,1751.58,252.53,399.8,8.83,1.53,199.96,195.48,199.92,295.1,306.41,250.19,249.76,846.46,823.88,882.7,449.56,451.46,453.48,454.57,65.69,2.71
2017-03-30 10:00:00,61.11,8.24,1172.35,298.33,396.65,9.05,1.53,199.93,195.46,199.95,295.1,306.41,249.8,249.83,852.04,822.98,741.89,480.85,385.25,605.2,425.07,64.62,3.1
2017-03-30 11:00:00,61.11,8.24,1975.16,379.38,402.32,9.16,1.56,199.89,195.43,199.94,295.1,306.41,249.72,250.19,850.89,817.88,647.03,463.84,383.77,535.73,363.37,65.03,2.8
2017-03-30 12:00:00,61.11,8.24,1022.03,399.32,392.33,9.48,1.55,199.92,195.42,199.95,295.1,306.41,250.04,250.04,849.09,815.46,879.94,377.18,434.44,621.66,497.94,64.99,2.63
2017-03-30 13:00:00,61.11,8.24,1866.41,388.18,401.84,9.5,1.59,199.97,196.02,199.95,295.1,306.41,250.05,250.16,851.34,820.97,764.66,363.05,558.29,646.82,436.79,64.99,2.63
2017-03-30 14:00:00,61.11,8.24,2300.01,493.99,401.03,9.67,1.66,200.13,195.4,199.9,295.1,306.41,250.05,250.07,856.7,781.81,869.97,459.38,602.75,473.01,578.22,65.0,2.63
2017-03-30 15:00:00,61.12,8.25,2629.15,533.76,400.27,9.63,1.73,200.04,195.64,200.04,295.1,306.41,250.06,250.19,858.95,771.73,883.96,449.39,452.73,453.97,460.68,65.77,2.25
2017-03-30 16:00:00,61.39,8.41,2840.94,529.5,400.39,9.63,1.73,199.87,195.57,199.93,295.1,306.41,250.03,250.05,858.6,782.78,883.62,450.19,451.97,464.1,330.14,66.06,2.27
2017-03-30 17:00:00,61.39,8.41,2426.5,536.96,399.67,9.79,1.74,199.91,194.97,199.96,295.1,306.41,250.01,250.03,857.69,793.83,884.15,550.8,551.94,607.56,600.9,64.88,4.28
2017-03-30 18:00:00,61.39,8.41,2518.57,542.95,399.97,9.58,1.74,199.93,195.54,200.14,295.1,306.41,249.97,250.12,856.62,804.89,884.21,550.61,549.37,615.6,596.71,64.43,4.02
2017-03-30 19:00:00,61.39,8.41,2207.48,537.03,399.86,9.31,1.74,199.93,195.46,199.93,295.1,306.41,250.06,249.91,855.54,815.94,883.48,549.37,549.2,602.11,598.24,64.46,4.92
2017-03-30 20:00:00,61.39,8.41,2569.25,542.87,399.74,9.51,1.74,199.6,195.92,199.95,295.1,306.41,250.04,249.96,854.47,808.81,883.86,550.21,551.5,598.92,599.11,63.51,4.53
2017-03-30 21:00:00,61.39,8.41,2289.68,555.5,401.7,9.74,1.76,199.93,195.18,199.85,295.1,306.41,249.98,249.7,853.4,791.13,884.58,525.55,532.44,571.55,568.98,65.07,4.14
2017-03-30 22:00:00,61.39,8.41,1822.79,473.96,400.68,9.14,1.67,200.02,195.29,200.24,295.1,306.41,250.02,249.98,847.81,789.75,878.67,470.08,461.04,450.34,451.63,63.8,4.82
2017-03-30 23:00:00,61.39,8.41,2530.49,459.07,400.87,8.99,1.63,200.13,195.19,200.08,295.1,306.41,250.09,250.19,820.71,799.59,854.51,452.09,450.96,456.23,445.46,63.83,4.91
2017-03-31 00:00:00,61.35,8.47,2587.82,539.07,399.99,9.45,1.74,199.76,195.26,199.84,295.1,306.41,250.05,250.18,800.02,800.92,801.22,451.78,450.04,453.27,452.19,64.54,3.92
2017-03-31 01:00:00,54.3,20.14,1056.78,553.27,398.96,9.71,1.76,196.66,198.11,199.87,295.1,306.41,249.33,249.93,801.01,795.9,800.61,446.49,446.65,452.73,449.63,63.78,5.07
2017-03-31 02:00:00,54.3,20.14,2078.35,466.66,400.42,9.42,1.62,199.98,195.26,199.99,295.1,306.41,249.95,250.04,801.56,798.78,803.26,448.38,449.24,457.51,451.4,63.46,4.48
2017-03-31 03:00:00,54.3,20.14,2178.53,519.06,399.93,9.33,1.71,200.14,194.9,199.91,295.1,306.41,249.99,250.1,800.26,800.01,800.68,443.78,446.59,450.34,447.79,64.54,3.52
2017-03-31 04:00:00,54.3,20.14,2297.48,550.15,400.35,9.05,1.75,199.82,194.93,200.04,295.1,306.41,250.14,250.01,801.08,800.88,800.2,455.94,457.99,452.27,456.46,65.68,2.47
2017-03-31 05:00:00,54.3,20.14,2230.01,559.3,399.79,9.47,1.77,200.95,195.24,200.06,295.1,306.41,250.4,250.14,800.1,800.11,799.72,429.64,438.12,454.5,440.83,65.18,1.79
2017-03-31 06:00:00,54.34,20.08,2234.99,554.46,399.55,9.72,1.76,200.71,195.26,199.96,295.1,306.41,250.45,249.84,799.83,800.82,800.96,424.78,457.81,455.79,459.92,66.49,1.92
2017-03-31 07:00:00,59.73,9.23,2138.11,569.85,399.84,9.67,1.78,200.46,194.98,199.94,295.1,306.41,250.2,250.0,800.86,800.3,801.12,442.84,453.32,457.81,451.85,66.35,2.26
2017-03-31 08:00:00,59.73,9.23,2127.97,549.87,399.51,9.34,1.76,200.04,195.71,199.95,295.1,306.41,250.06,250.32,799.5,801.09,800.48,416.72,441.13,449.6,441.81,66.93,1.03
2017-03-31 09:00:00,59.73,9.23,2247.12,562.41,399.69,9.33,1.77,178.94,179.07,178.86,295.1,306.41,250.31,250.12,801.65,800.81,800.83,468.82,451.34,459.76,459.93,67.44,1.07
2017-03-31 10:00:00,59.73,9.23,2014.1,563.44,399.61,9.68,1.77,177.41,178.33,177.21,295.1,306.41,250.02,250.31,800.02,800.29,800.53,451.89,444.83,457.24,448.17,67.44,1.07
2017-03-31 11:00:00,59.73,9.23,1402.09,561.73,399.59,9.83,1.77,177.34,178.8,177.74,295.1,306.41,250.01,250.19,800.72,801.2,800.9,458.92,445.42,450.69,446.76,67.44,1.07
2017-03-31 12:00:00,59.73,9.23,1655.28,530.27,399.93,9.65,1.73,177.26,179.26,178.26,295.1,306.41,250.62,249.98,801.8,800.65,799.37,461.87,449.05,454.43,453.12,66.9,1.45
2017-03-31 13:00:00,59.73,9.23,1486.28,504.26,400.0,9.45,1.69,177.18,179.73,178.79,295.1,306.41,250.63,250.06,799.61,800.74,798.97,451.39,447.42,450.45,450.62,65.91,1.71
2017-03-31 14:00:00,59.73,9.23,2252.61,535.06,400.62,9.42,1.74,177.11,180.19,179.31,295.1,306.41,250.02,250.11,802.08,801.19,801.15,452.58,452.17,450.28,451.34,65.46,1.75
2017-03-31 15:00:00,59.73,9.23,1737.49,556.04,400.23,9.69,1.76,177.03,180.66,179.84,295.1,306.41,249.62,250.03,799.4,800.65,800.55,449.91,451.56,451.7,453.01,65.66,2.0
2017-03-31 16:00:00,59.73,9.23,1408.51,546.78,399.9,9.62,1.75,176.95,181.13,180.36,295.1,306.41,250.44,250.17,799.33,799.48,800.46,454.37,453.8,449.07,452.72,65.09,2.28
2017-03-31 17:00:00,59.73,9.23,830.37,493.79,399.87,9.59,1.68,176.88,181.59,180.89,295.1,306.41,250.31,250.03,799.48,801.08,801.3,445.97,444.11,447.62,449.02,64.03,3.12
2017-03-31 18:00:00,59.73,9.23,2217.3,489.01,400.36,9.55,1.67,176.8,182.06,181.41,295.1,306.41,249.82,249.98,799.6,801.16,800.6,455.35,457.15,454.11,454.35,64.03,3.12
2017-03-31 19:00:00,59.73,9.23,2478.71,547.63,399.49,9.54,1.75,176.73,182.53,181.94,295.1,306.41,249.71,249.93,800.25,800.36,799.97,448.64,446.75,452.51,448.49,64.03,3.12
2017-03-31 20:00:00,59.73,9.23,2141.1,553.0,399.8,9.69,1.76,176.65,182.99,182.46,295.1,306.41,250.49,250.12,800.1,799.62,799.13,451.63,449.88,456.19,448.11,64.03,3.12
2017-03-31 21:00:00,59.73,9.23,1896.0,571.58,400.45,9.81,1.78,176.57,183.46,182.99,295.1,306.41,249.9,249.92,800.62,800.62,800.25,451.02,454.23,465.91,453.01,64.03,3.12
2017-03-31 22:00:00,59.73,9.23,2152.13,573.34,400.44,9.56,1.78,176.5,183.93,183.51,295.1,306.41,249.63,249.85,801.15,800.34,800.17,449.19,446.32,454.52,446.72,64.03,3.12
2017-03-31 23:00:00,59.73,9.23,2011.22,558.5,398.89,9.36,1.77,176.42,184.39,184.04,295.1,306.41,250.06,250.05,799.79,799.85,801.23,450.7,450.0,451.36,451.89,64.03,3.12
2017-04-01 00:00:00,59.73,9.23,2339.55,555.54,399.99,9.61,1.76,176.35,184.86,184.56,295.1,306.41,249.8,250.04,801.13,799.13,799.98,448.32,451.86,451.41,449.52,64.03,3.12
2017-04-01 01:00:00,59.73,9.23,1751.2,575.29,399.44,9.83,1.79,176.27,185.33,185.09,295.1,306.41,249.86,250.43,799.92,800.29,798.96,450.8,454.74,455.68,456.95,64.03,3.12
2017-04-01 02:00:00,59.73,9.23,1876.6,566.08,399.96,9.63,1.77,176.19,185.79,185.61,295.1,306.41,250.4,249.72,798.94,799.77,798.75,449.28,452.41,455.27,452.45,64.03,3.12
2017-04-01 03:00:00,59.73,9.23,1546.64,566.93,399.52,9.35,1.78,176.12,186.26,186.14,295.1,306.41,250.26,250.32,800.34,800.82,799.69,450.45,449.68,453.29,447.48,64.03,3.12
2017-04-01 04:00:00,59.73,9.23,2370.52,571.33,399.89,9.36,1.78,176.04,186.72,186.66,295.1,306.41,250.4,250.11,799.48,800.45,799.52,450.73,450.29,462.57,449.58,64.03,3.12
2017-04-01 05:00:00,59.73,9.23,2257.56,575.44,400.58,9.61,1.79,175.97,187.19,187.19,295.1,306.41,250.07,250.09,800.57,799.76,800.47,450.9,452.11,465.32,450.17,64.03,3.12
2017-04-01 06:00:00,59.73,9.23,2274.37,576.28,399.46,9.61,1.79,175.89,187.66,187.71,295.1,306.41,250.11,250.31,801.15,801.49,800.78,448.14,450.49,453.35,448.17,64.03,3.12
2017-04-01 07:00:00,59.73,9.23,2063.94,577.34,400.01,9.42,1.79,176.73,191.19,191.69,295.1,306.41,249.99,249.93,799.22,799.48,800.79,449.68,450.63,457.63,451.25,64.03,3.12
2017-04-01 08:00:00,59.73,9.23,893.03,479.46,398.93,9.37,1.66,198.46,201.39,199.96,295.1,306.41,250.09,250.61,798.61,800.12,798.87,448.42,449.52,454.97,449.8,64.03,3.12
2017-04-01 09:00:00,59.73,9.23,2082.39,389.5,399.22,9.28,1.57,200.11,199.92,200.01,295.1,306.41,250.16,250.05,801.49,797.81,800.68,448.57,446.94,454.53,450.85,64.03,3.12
2017-04-01 10:00:00,59.73,9.23,1079.46,508.74,398.93,9.11,1.7,199.98,199.96,199.87,295.1,306.41,250.09,250.27,800.31,800.3,800.99,451.25,445.22,448.98,445.32,64.03,3.12
2017-04-01 11:00:00,59.73,9.23,1455.02,500.45,400.52,9.02,1.69,199.97,200.04,200.0,295.1,306.41,250.06,250.14,803.6,803.54,806.65,486.47,471.22,454.77,449.29,64.03,3.12
2017-04-01 12:00:00,59.73,9.23,1655.35,556.53,400.27,9.25,1.76,199.98,200.06,199.92,295.1,306.41,250.03,250.21,799.36,799.62,799.86,447.43,451.58,455.97,450.72,64.03,3.12
2017-04-01 13:00:00,59.73,9.23,2098.56,561.5,399.65,9.37,1.77,200.15,199.12,199.81,295.1,306.41,249.99,250.44,801.63,798.96,800.17,453.99,448.58,451.6,448.94,64.03,3.12
2017-04-01 14:00:00,59.73,9.23,1962.14,567.93,399.81,9.49,1.78,200.23,200.32,200.07,295.1,306.41,250.15,250.15,798.35,800.08,800.68,450.92,451.23,456.95,447.34,64.03,3.12
2017-04-01 15:00:00,59.73,9.23,2265.1,514.41,399.37,9.24,1.7,199.81,199.72,200.1,295.1,306.41,250.05,250.22,800.45,799.51,800.23,451.65,452.31,452.52,452.49,64.03,3.12
2017-04-01 16:00:00,59.73,9.23,2566.8,548.29,400.98,9.18,1.75,199.97,199.49,200.09,295.1,306.41,249.93,249.99,800.94,800.8,800.96,397.57,445.8,451.08,449.7,64.03,3.12
2017-04-01 17:00:00,59.73,9.23,1823.82,525.81,398.82,9.37,1.7,199.88,200.41,200.07,295.1,306.41,249.86,250.13,801.43,800.54,802.47,394.67,444.45,457.5,447.63,64.03,3.12
2017-04-01 18:00:00,59.73,9.23,2634.44,565.8,399.26,9.52,1.77,199.91,199.94,199.92,295.1,306.41,250.01,250.11,801.04,801.1,801.45,248.9,451.58,452.06,453.01,64.03,3.12
2017-04-01 19:00:00,59.73,9.23,2433.15,553.09,400.9,9.69,1.79,199.57,200.21,199.91,295.1,306.41,249.88,250.25,800.57,798.13,802.38,263.22,450.37,452.21,451.03,64.03,3.12
2017-04-01 20:00:00,59.73,9.23,2542.92,539.42,400.62,9.55,1.75,199.9,200.01,199.92,295.1,306.41,249.72,250.08,801.01,799.67,799.81,409.89,452.63,450.4,450.18,64.03,3.12
2017-04-01 21:00:00,59.73,9.23,2237.16,525.81,399.17,9.37,1.72,199.87,200.15,199.83,295.1,306.41,250.04,249.83,799.53,800.8,800.49,448.35,448.41,450.84,450.92,64.03,3.12
2017-04-01 22:00:00,59.73,9.23,2251.54,481.65,399.67,9.48,1.66,199.93,199.3,200.1,295.1,306.41,249.98,249.95,800.25,799.66,799.35,456.8,483.63,517.21,508.22,64.03,3.12
2017-04-01 23:00:00,59.73,9.23,2271.42,548.07,400.06,9.66,1.75,199.91,200.55,200.0,295.1,306.41,249.83,250.07,800.96,799.63,800.47,444.05,451.7,426.11,449.69,64.03,3.12
2017-04-02 00:00:00,59.73,9.23,1645.06,561.18,399.56,9.37,1.77,199.96,199.79,200.06,295.1,306.41,249.92,250.28,800.65,800.45,800.79,431.6,448.96,439.37,451.42,64.03,3.12
2017-04-02 01:00:00,59.73,9.23,225.31,544.52,399.66,9.33,1.74,199.96,200.19,199.83,295.1,306.41,250.13,249.93,800.04,799.28,798.98,194.59,450.7,441.04,449.61,64.03,3.12
2017-04-02 02:00:00,59.73,9.23,1422.31,432.19,398.86,9.24,1.63,199.92,200.07,199.9,295.1,306.41,249.94,250.48,809.51,804.12,814.12,252.46,452.34,449.48,449.93,64.03,3.12
2017-04-02 03:00:00,59.73,9.23,2016.58,530.81,400.03,9.42,1.73,199.94,201.85,200.04,295.1,306.41,250.02,250.25,799.66,798.07,798.7,271.69,447.4,450.62,449.84,64.03,3.12
2017-04-02 04:00:00,59.73,9.23,1911.42,558.98,399.86,9.62,1.77,199.88,199.85,199.95,295.1,306.41,250.05,249.92,800.53,800.94,800.16,170.81,451.84,451.68,451.19,64.03,3.12
2017-04-02 05:00:00,59.73,9.23,1274.28,495.23,399.16,9.52,1.67,199.93,199.55,200.02,295.1,306.41,249.99,249.93,801.84,801.93,805.82,293.28,455.46,453.51,458.71,64.03,3.12
2017-04-02 06:00:00,59.71,9.24,2254.35,505.22,401.08,9.56,1.69,200.0,200.16,199.92,295.1,306.41,250.06,250.96,801.7,800.79,800.55,369.79,449.67,453.16,452.59,64.03,3.12
2017-04-02 07:00:00,56.73,12.74,2149.63,487.09,402.35,9.75,1.64,200.06,199.87,200.02,295.1,306.41,250.15,249.87,810.2,801.68,811.05,454.37,446.89,479.9,467.17,64.04,3.11
2017-04-02 08:00:00,56.73,12.74,2342.1,561.22,399.38,9.54,1.77,200.17,200.33,199.91,295.1,306.41,250.55,250.15,796.42,799.17,797.84,432.13,447.23,451.44,447.04,64.41,2.97
2017-04-02 09:00:00,56.73,12.74,1873.16,550.13,400.47,9.49,1.75,200.06,199.73,200.04,295.1,306.41,250.5,250.33,799.93,801.02,799.74,436.64,450.79,451.15,451.11,65.13,2.68
2017-04-02 10:00:00,56.73,12.74,2238.03,543.44,400.69,9.57,1.78,200.07,199.43,199.94,295.1,306.41,250.36,249.98,806.99,802.53,803.54,455.05,452.55,437.39,456.04,65.5,2.53
2017-04-02 11:00:00,56.73,12.74,1816.81,562.43,398.39,9.67,1.77,201.38,201.02,199.67,295.1,306.41,250.23,250.07,772.11,809.08,799.63,316.38,440.8,444.23,443.63,66.32,1.45
2017-04-02 12:00:00,56.73,12.74,2562.17,580.31,402.07,9.39,1.79,231.57,231.99,231.53,295.1,306.41,249.57,250.11,650.09,695.69,675.5,452.57,455.56,434.42,457.59,66.02,1.19
2017-04-02 13:00:00,56.73,12.74,1814.55,542.8,398.0,9.27,1.74,249.71,250.73,249.88,295.1,306.41,249.63,250.19,650.75,647.89,599.49,443.29,446.99,442.82,449.09,66.01,2.02
2017-04-02 14:00:00,56.73,12.74,2553.67,548.68,397.79,9.53,1.76,250.21,250.18,250.2,295.1,306.41,250.38,250.21,648.8,656.4,599.97,439.56,450.53,436.55,450.72,66.02,1.42
2017-04-02 15:00:00,56.75,12.71,2244.31,566.1,400.09,9.69,1.77,250.25,249.65,250.13,295.1,306.41,250.11,250.34,649.14,649.37,598.28,443.44,452.61,447.38,451.37,65.54,1.58
2017-04-02 16:00:00,60.23,8.52,2302.99,577.41,400.62,9.5,1.79,249.83,249.53,249.72,295.1,306.41,250.19,250.06,649.76,648.2,601.26,457.19,450.74,448.47,449.93,66.53,1.01
2017-04-02 17:00:00,60.23,8.52,2180.74,574.52,401.35,9.4,1.79,250.05,250.22,249.78,295.1,306.41,249.99,250.21,648.64,649.4,600.49,459.5,452.16,428.67,452.91,65.65,2.57
2017-04-02 18:00:00,60.23,8.52,2454.14,575.24,399.84,9.67,1.79,250.08,250.66,250.18,295.1,306.41,250.02,250.13,647.71,648.01,600.39,456.07,450.37,441.71,450.71,66.32,1.05
2017-04-02 19:00:00,60.23,8.52,2103.98,557.83,399.19,9.79,1.77,249.85,250.59,250.04,295.1,306.41,250.03,250.27,639.65,640.46,599.36,448.43,450.97,434.33,447.48,66.3,1.55
2017-04-02 20:00:00,60.23,8.52,2032.82,515.35,399.79,9.54,1.71,250.08,248.96,250.07,295.1,306.41,250.06,250.22,600.22,601.1,600.67,392.09,395.41,405.13,398.05,65.88,1.58
2017-04-02 21:00:00,60.23,8.52,1969.55,550.72,400.81,9.5,1.75,249.95,250.59,250.08,295.1,306.41,250.09,250.03,599.73,600.93,601.31,391.08,394.53,401.97,394.8,64.75,3.84
2017-04-02 22:00:00,60.23,8.52,2251.55,557.62,400.02,9.44,1.77,250.0,249.93,250.03,295.1,306.41,249.9,250.05,747.03,387.64,737.84,416.27,407.98,415.3,414.82,64.92,3.27
2017-04-02 23:00:00,60.23,8.52,2399.23,542.26,401.36,9.73,1.72,250.13,251.11,250.08,295.1,306.41,250.05,250.06,803.7,664.82,802.59,398.46,399.88,429.89,413.12,64.94,3.39
2017-04-03 00:00:00,60.21,8.55,2194.47,574.75,400.71,9.71,1.79,250.11,250.27,250.07,295.1,306.41,250.01,249.98,800.41,719.37,800.14,395.86,391.56,421.37,398.9,63.78,4.42
2017-04-03 01:00:00,55.66,14.66,2645.84,558.5,399.92,9.52,1.77,250.04,251.31,250.11,295.1,306.41,250.13,250.03,659.67,721.92,660.07,410.59,410.64,430.18,411.24,63.27,4.17
2017-04-03 02:00:00,55.66,14.66,2210.79,561.68,400.54,9.9,1.77,250.01,249.58,250.11,295.1,306.41,250.03,249.84,600.31,724.48,600.14,371.35,390.17,405.23,398.02,62.61,3.68
2017-04-03 03:00:00,55.66,14.66,2487.0,555.98,400.55,9.92,1.72,250.11,249.96,250.14,295.1,306.41,250.06,250.04,608.54,727.04,613.37,401.05,407.49,429.34,409.6,64.07,3.18
2017-04-03 04:00:00,55.66,14.66,2348.29,547.33,400.19,9.65,1.75,249.94,249.71,250.01,295.1,306.41,249.67,249.99,598.4,729.59,623.9,388.94,392.86,405.4,391.72,65.5,2.94
2017-04-03 05:00:00,55.66,14.66,1674.15,523.29,399.94,9.67,1.72,249.95,250.25,250.07,295.1,306.41,250.15,250.08,595.67,732.15,621.37,407.73,398.57,417.05,403.35,64.87,3.96
2017-04-03 06:00:00,55.66,14.68,2216.57,545.98,400.01,9.52,1.75,250.01,250.66,250.05,295.1,306.41,249.96,249.91,589.52,734.7,614.99,402.12,405.75,423.6,402.76,66.05,2.36
2017-04-03 07:00:00,54.39,17.41,1356.88,553.38,399.92,9.38,1.76,250.15,250.2,250.14,295.1,306.41,250.21,249.92,591.62,737.26,609.44,398.71,395.37,429.61,397.04,66.06,1.98
2017-04-03 08:00:00,54.39,17.41,2211.06,538.71,400.14,9.46,1.74,250.11,250.07,250.17,295.1,306.41,250.31,249.99,641.27,739.81,578.44,378.45,398.78,407.62,395.01,64.06,3.86
2017-04-03 09:00:00,54.39,17.41,2344.88,568.6,401.18,9.85,1.78,250.31,250.25,250.46,295.1,306.41,250.37,250.32,600.47,742.37,419.26,418.35,395.72,429.86,405.08,65.04,2.89
2017-04-03 10:00:00,54.39,17.41,2430.27,532.62,399.74,9.85,1.71,250.13,249.87,250.13,295.1,306.41,250.13,249.96,649.9,744.93,332.51,440.04,408.15,502.98,411.49,64.92,4.16
2017-04-03 11:00:00,54.39,17.41,2101.55,550.9,399.88,9.62,1.75,250.05,250.05,250.02,295.1,306.41,249.99,250.03,610.45,747.48,634.63,425.15,399.55,468.87,406.94,63.38,5.4
2017-04-03 12:00:00,54.39,17.41,2581.73,576.81,400.49,9.55,1.79,250.07,249.87,250.05,295.1,306.41,250.02,250.04,600.81,750.04,843.7,407.22,402.45,458.69,402.85,63.05,5.18
2017-04-03 13:00:00,54.39,17.41,2373.89,575.4,400.2,9.77,1.79,250.12,250.84,250.12,295.1,306.41,250.35,250.03,599.03,752.59,884.44,410.2,400.9,434.03,400.81,62.38,4.75
2017-04-03 14:00:00,54.39,17.41,2191.85,574.26,398.94,9.65,1.79,250.11,250.27,249.96,295.1,306.41,249.74,249.93,597.88,755.15,884.07,399.62,394.54,428.15,392.73,62.06,4.32
2017-04-03 15:00:00,54.39,17.41,1715.41,490.48,400.35,9.54,1.68,250.26,250.12,250.17,295.1,306.41,250.04,250.03,680.59,778.33,883.7,414.81,400.77,397.15,397.59,62.61,3.88
2017-04-03 16:00:00,54.39,17.41,741.87,349.76,396.31,9.51,1.54,249.83,250.86,250.02,295.1,306.41,250.07,250.06,857.12,799.91,883.33,410.78,413.8,218.1,242.8,62.61,3.45
2017-04-03 17:00:00,54.39,17.41,729.91,354.92,390.83,9.47,1.54,250.01,250.12,249.98,295.1,306.41,249.99,250.05,852.19,799.68,882.96,397.0,389.32,246.04,231.41,62.61,3.02
